Country;Semester;Electricity Price;time_frequency;energy_product;energy_consumption;unit_of_measure;tax_type;currency;consumption_description;consumption_band
Slovakia;2021-S1;0.1812;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Finland;2021-S1;0.2746;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Sweden;2021-S1;0.2889;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Iceland;2021-S1;0.2579;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2021-S1;0.319;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Norway;2021-S1;0.3357;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2021-S1;0.1808;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2021-S1;0.127;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Moldova;2021-S1;0.0762;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
North Macedonia;2021-S1;0.0725;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Georgia;2021-S1;0.043;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Albania;2021-S1;0.0771;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Serbia;2021-S1;0.2107;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Türkiye;2021-S1;0.0675;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Ukraine;2021-S1;0.041;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Kosovo*;2021-S1;0.0717;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Belgium;2021-S2;0.2878;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2021-S2;0.0933;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Czechia;2021-S2;0.2669;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Denmark;2021-S2;0.2066;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Germany;2021-S2;0.2852;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Estonia;2021-S2;0.1637;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Ireland;2021-S2;0.3225;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Greece;2021-S2;0.197;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Spain;2021-S2;0.3022;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
France;2021-S2;0.3161;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Croatia;2021-S2;0.1618;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Italy;2021-S2;0.3322;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2021-S2;0.2893;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Latvia;2021-S2;0.175;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2021-S2;0.1332;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2021-S2;0.2745;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Hungary;2021-S2;0.0814;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Malta;2021-S2;0.3618;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2021-S2;0.4468;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Austria;2021-S2;0.264;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Poland;2021-S2;0.1312;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Portugal;2021-S2;0.2266;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Romania;2021-S2;0.119;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2021-S2;0.1777;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Slovakia;2021-S2;0.1809;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Finland;2021-S2;0.2785;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Sweden;2021-S2;0.3411;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Iceland;2021-S2;0.2638;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2021-S2;0.3216;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Norway;2021-S2;0.3793;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2021-S2;0.1576;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2021-S2;0.1171;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Moldova;2021-S2;0.0768;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
North Macedonia;2021-S2;0.0813;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Georgia;2021-S2;0.0443;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Albania;2021-S2;0.0781;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Serbia;2021-S2;0.2099;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Türkiye;2021-S2;0.0642;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Kosovo*;2021-S2;0.0695;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Belgium;2022-S1;0.3812;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2022-S1;0.0939;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Czechia;2022-S1;0.3325;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Denmark;2022-S1;0.2944;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Germany;2022-S1;0.3147;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Estonia;2022-S1;0.1914;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Ireland;2022-S1;0.3874;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Greece;2022-S1;0.3296;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Spain;2022-S1;0.4931;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
France;2022-S1;0.3421;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Croatia;2022-S1;0.1944;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Italy;2022-S1;0.4955;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2022-S1;0.2561;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Latvia;2022-S1;0.2167;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2022-S1;0.1387;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2022-S1;0.297;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Hungary;2022-S1;0.0753;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Malta;2022-S1;0.3556;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2022-S1;0.5251;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Austria;2022-S1;0.246;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Poland;2022-S1;0.1331;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Portugal;2022-S1;0.3281;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Romania;2022-S1;0.1686;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2022-S1;0.1488;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Slovakia;2022-S1;0.201;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Finland;2022-S1;0.2881;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Sweden;2022-S1;0.3603;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Iceland;2022-S1;0.2843;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2022-S1;0.3293;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Norway;2022-S1;0.4004;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2022-S1;0.1788;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2022-S1;0.1235;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Moldova;2022-S1;0.0929;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
North Macedonia;2022-S1;0.0905;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Albania;2022-S1;0.0784;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Serbia;2022-S1;0.2383;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Türkiye;2022-S1;0.0687;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Kosovo*;2022-S1;0.0734;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Belgium;2022-S2;0.479;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2022-S2;0.0967;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Czechia;2022-S2;0.3645;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Denmark;2022-S2;0.4173;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Germany;2022-S2;0.383;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Estonia;2022-S2;0.2332;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Ireland;2022-S2;0.5244;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Greece;2022-S2;0.5294;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Spain;2022-S2;0.494;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
France;2022-S2;0.3417;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Croatia;2022-S2;0.1907;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Italy;2022-S2;0.5169;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2022-S2;0.4519;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Latvia;2022-S2;0.2763;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2022-S2;0.2377;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2022-S2;0.299;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Hungary;2022-S2;0.0636;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Malta;2022-S2;0.3781;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2022-S2;0.6352;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Austria;2022-S2;0.3287;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Poland;2022-S2;0.146;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Portugal;2022-S2;0.459;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
Romania;2022-S2;0.2833;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption less than 1 000 kWh - band DA;DA
